Classe,Número,Link,Url,Relator Atual,Classificação STF,Meio Processo,Data Autuação,Legislação,Data Andamento Atual,Andamento Atual,Observação Andamento Atual,Data Localização Atual,Localização Atual,Sem nenhuma decisão,Indicador de Tutela Antecipada,Indicador de Tutela Provisória,Sem decisão final,Recurso interno pendente,Em mesa/pauta,Acórdão pendente de publicação,Procedência,Órgão Origem,Ramo Direito Novo,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADI,6067,ADI-6067,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624378,MIN. GILMAR MENDES,Originária,Eletrônico,1/2/2019,"1 - Lei Orgânica Municipal nº 16819 de 2019 - Lei Orgânica Municipal nº 16819 de 2019, o art. 1º; §§ 2º, 3º, 4º, 5º, 6º, 7º, 8º, 11, 12, 13, 14, 15, 17, 19, 20, 22, 26, 27, 28, 29, 30, 32, 35, 36, 37, do art. 2º; do art. 6º e do art. 7º,DO TRIBUNAL DE CONTAS DO ESTADO DO CEARÁ.2 - Lei Orgânica Municipal nº 12509 de 1995 - Lei Orgânica Municipal nº 12509 de 1995,  art. 1º, §§ 15, 32, 35, 37 e do art. 6º, DO TRIBUNAL DE CONTAS DO ESTADO DO CEARÁ.",24/7/2020,Conclusos ao(à) Relator(a),,24/7/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Não,Não,Não,CEARÁ,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6069,ADI-6069,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5626228,MIN. GILMAR MENDES,Originária,Eletrônico,6/2/2019,"1 - Consolidação das Leis do Trabalho - Consolidação das Leis do Trabalho, Art. 223-A, 223-G.2 - Lei Federal nº 13467 de 2017 - Lei Federal nº 13467 de 2017, Art. 1º.",14/9/2020,"Publicação, DJE"," DJE nº 226, divulgado em 11/09/2020",11/9/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO DO TRABALHO,Em tramitação,,,,,,,,
ADI,6074,ADI-6074,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5632423,MIN. ROSA WEBER,Originária,Eletrônico,14/2/2019,"1 - Lei Estadual nº 1293 de 2018 - Lei Estadual nº 1293 de 2018, DO ESTADO DE RORAIMA.",2/12/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 175/2020.  DJE nº 284, divulgado em 01/12/2020",31/7/2020,GABINETE MINISTRA ROSA WEBER,Sim,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO TRIBUTÁRIO,Em tramitação,,,,,,,,
ADI,6075,ADI-6075,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5633321,MIN. MARCO AURÉLIO,Originária,Eletrônico,15/2/2019,"1 - Lei Estadual nº 10461 de 2018 - Lei Estadual nº 10461 de 2018,  RIO GRANDE DO NORTE.",22/4/2020,Conclusos ao(à) Relator(a),,22/4/2020,GABINETE MINISTRO MARCO AURÉLIO,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6078,ADI-6078,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5635488,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,18/2/2019,"1 - Lei Federal nº 9868 de 1999 - Lei Federal nº 9868 de 1999, artigos 1º, 2º VIII, 3º I, II, parágrafo único, 6º parágrafo único, 8º, 9º caput, 10 § 3º, 11 § 1º e § 2º, 12, 22, 23, 24, 25 e 28 parágrafo único.2 - Constituição Federal de 1988 - Constituição Federal de 1988, artigos 1º parágrafo único, 5º caput, II, XXXV, XXXVI, LVI, § 1º, 14 § 3º, II, V, § 9º, 17 caput, 19 II, III, 37 I, 102 caput, I, “a” e “p”, § 2º e 103 IX, § 1º, § 3º.",17/6/2019,Conclusos ao(à) Relator(a),,17/6/2019,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Não,Sim,Não,Não,GOIÁS,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6080,ADI-6080,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5636372,MIN. MARCO AURÉLIO,Originária,Eletrônico,19/2/2019,"1 - Lei Estadual nº 1255 de 2018 - Lei Estadual nº 1255 de 2018, do Estado de Roraima.",7/12/2020,Vista ao(à) Ministro(a),"     Decisão: Após o voto do Ministro Marco Aurélio (Relator), que conhecia do agravo e negava-lhe provimento, pediu vista dos autos o Ministro Edson Fachin. Plenário, Sessão Virtual de 27.11.2020 a 4.12.2020.",7/12/2020,GABINETE MINISTRO EDSON FACHIN,Não,Não,Não,Não,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6081,ADI-6081,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5639741,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,22/2/2019,"1 - Lei Estadual nº 17527 de 2018 - Lei Estadual nº 17527 de 2018, Art. 2º, §§ 1º e 2º,  do Estado de Santa Catarina.",12/2/2020,Conclusos ao(à) Relator(a),,12/2/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6082,ADI-6082,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5640983,MIN. GILMAR MENDES,Originária,Eletrônico,25/2/2019,"1 - Lei Federal nº 13467 de 2017 - Lei Federal nº 13467 de 2017, Art. 1º , no que concerne à nova redação dada aos artigos 223-A e incisos I, II, III e IV do § 1º do artigo 223-G.",14/9/2020,"Publicação, DJE"," DJE nº 226, divulgado em 11/09/2020",11/9/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO DO TRABALHO,Em tramitação,,,,,,,,
ADPF,567,ADPF-567,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5644093,MIN. ALEXANDRE DE MORAES,Originária,Eletrônico,28/2/2019,"1 - Lei Municipal nº 16897 - Em face do Exmo. PREFEITO DO MUNICÍPIO DE SÃO PAULO, representado pelo prefeito Bruno Covas, com objetivo de evitar lesão a preceito fundamental, decorrente de ato de Poder Público, consubstanciado na edição da Lei Municipal nº 16.897, de 23 de maio de 2018 (publicada no Diário Oficial de São Paulo em 24 de maio de 2018),  do Município de São Paulo, Estado de São Paulo.",23/4/2020,"Ata de Julgamento Publicada, DJE","ATA Nº 9, de 15/04/2020.  DJE nº 97, divulgado em 22/04/2020",14/4/2020,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6085,ADI-6085,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5644873,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,1/3/2019,1 - Lei Federal nº 13714 de 2018 - Lei Federal nº 13714 de 2018.,3/8/2020,Conclusos ao(à) Relator(a),,3/8/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6088,ADI-6088,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5645422,MIN. EDSON FACHIN,Originária,Eletrônico,1/3/2019,"1 - Lei Estadual nº 4658 de 2018 - Lei Estadual nº 4658 de 2018, DO ESTADO DO AMAZONAS.",25/6/2019,Conclusos ao(à) Relator(a),,25/6/2019,GABINETE MINISTRO EDSON FACHIN,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6089,ADI-6089,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5645492,MIN. MARCO AURÉLIO,Originária,Eletrônico,1/3/2019,"1 - Lei Estadual nº 16734 de 2018 - Lei Estadual nº 16734 de 2018, DO ESTADO DO CEARÁ.",7/12/2020,Conclusos ao(à) Relator(a),,7/12/2020,GABINETE MINISTRO MARCO AURÉLIO,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6090,ADI-6090,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5645637,MIN. DIAS TOFFOLI,Originária,Eletrônico,2/3/2019,"1 - Lei Estadual nº 1257 de 2018, Art. 26 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.2 - Lei Estadual nº 1257 de 2018, Art. 27 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.3 - Lei Estadual nº 1257 de 2018, Art. 28 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.4 - Lei Estadual nº 1257 de 2018, Art. 29 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.5 - Lei Estadual nº 1257 de 2018, Art. 30 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.6 - Lei Estadual nº 1257 de 2018, Art. 31 - Lei Estadual nº 1257 de 2018, artigos 26, 27, 28, 29, 30, 31 e 33, do Estado de Roraima.",10/9/2020,Conclusos ao(à) Relator(a),,10/9/2020,GABINETE MINISTRO DIAS TOFFOLI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6091,ADI-6091,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5645640,MIN. DIAS TOFFOLI,Originária,Eletrônico,2/3/2019,"1 - Lei Estadual nº 1030 de 2016 - Lei Estadual nº 1030 de 2016, artigos 3º, 8º, 13, 16, 17, 23, 27, 30, 36 e 37, DO ESTADO DE RORAIMA.",10/9/2020,Conclusos ao(à) Relator(a),,10/9/2020,GABINETE MINISTRO DIAS TOFFOLI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6095,ADI-6095,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5647191,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,7/3/2019,"1 - Lei Estadual nº 8099 de 2018 - Lei Estadual nº 8099 de 2018, DO ESTADO DO RIO DE JANEIRO",9/12/2020,Inclua-se em pauta - minuta extraída,Julgamento Virtual: Incluído na Lista 372-2020.RL - Agendado para: 18/12/2020.,19/2/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6096,ADI-6096,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5647251,MIN. EDSON FACHIN,Originária,Eletrônico,7/3/2019,"1 - Medida Provisória nº 871 de 2019 - Medida Provisória nº 871 de 2019, publicada no Diário Oficial da União no dia 21 de janeiro de 2019, e que dispõem sobre a instituição de Programa Especial para Análise de Benefícios da Previdência Social e dá outras providências.",7/12/2020,Intimado eletronicamente,PROCURADOR-GERAL DA REPÚBLICA,4/12/2020,GABINETE MINISTRO EDSON FACHIN,Não,Não,Não,Não,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADC,61,ADC-61,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5649690,MIN. ROSA WEBER,Originária,Eletrônico,12/3/2019,"1 - Resolução nº 80 de 2013 - ""Resolução nº 80 de 3 de outubro de 2013"", Art. 1º.2 - Resolução nº 47 de 2017 - ""Resolução nº 47 de 5 de julho de 2017"", Art. 1º.3 - Resolução nº 13 de 2016 - ""Resolução nº 13 de 18 de Fevereiro de 2016"", Art. 1º.",21/8/2020,Conclusos ao(à) Relator(a),com a petição 42629/2019 sem despacho.,1/8/2019,GABINETE MINISTRA ROSA WEBER,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,569,ADPF-569,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5650503,MIN. ALEXANDRE DE MORAES,Originária,Eletrônico,13/3/2019,"1 - Código Penal - Código Penal, Art. 91, Inciso II, Alínea b.2 - Lei Federal nº 12850 de 2013 - Lei Federal nº 12850 de 2013, Art. 4º, Inciso IV.3 - Lei Federal nº 9613 de 1998 - Lei Federal nº 9613 de 1998, Art. 7º, § 1º, Inciso I.",9/9/2020,Conclusos ao(à) Relator(a),,29/5/2019,GABINETE MINISTRO ALEXANDRE DE MORAES,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6102,ADI-6102,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5651674,MIN. ROSA WEBER,Originária,Eletrônico,14/3/2019,"1 - Lei Estadual nº 1237 de 2018 - Lei Estadual nº 1237 de 2018, DO ESTADO DE RORAIMA.",2/12/2020,Pauta publicada no DJE - Plenário,"PAUTA Nº 175/2020.  DJE nº 284, divulgado em 01/12/2020",3/8/2020,GABINETE MINISTRA ROSA WEBER,Não,Não,Não,Sim,Não,Sim,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6106,ADI-6106,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5652713,MIN. CÁRMEN LÚCIA,Originária,Eletrônico,15/3/2019,"1 - Lei Complementar nº 12 de 1994 - Lei Complementar nº 12 de 1994, Art. 11; 11-A; 13 e §3º; e 17, §3º.2 - Lei Complementar nº 149 de 2009 - Lei Complementar nº 149 de 2009.3 - Lei Complementar nº 309 de 2015 - Lei Complementar nº 309 de 2015.4 - Lei Complementar nº 390 de 2018 - Lei Complementar nº 390 de 2018.5 - Lei Complementar nº 21 de 1998 - Lei Complementar nº 21 de 1998.",24/11/2020,Conclusos ao(à) Relator(a),,3/9/2019,GABINETE MINISTRA CÁRMEN LÚCIA,Não,Não,Não,Sim,Não,Sim,Não,PERNAMBUCO,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADC,62,ADC-62,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5654198,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,18/3/2019,"1 - Lei Federal nº 13567 de 2017 - ""Lei Federal nº 13467 de 2017"", Art. 702, inciso I, alínea “f” e parágrafos 3º e 4º, da Consolidação das Leis do Trabalho.",21/10/2020,Conclusos ao(à) Relator(a),,4/7/2019,GABINETE MINISTRO RICARDO LEWANDOWSKI,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,571,ADPF-571,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5654978,MIN. GILMAR MENDES,Originária,Eletrônico,19/3/2019,"1 - Lei Complementar nº 614 de 2013 - Lei Complementar nº 614 de 2013, art. 6º, DO ESTADO DE SANTA CATARINA.2 - Emenda Constitucional nº 41 de 2003 - Emenda Constitucional 41 de 2003, artigo 7º.",23/7/2020,Conclusos ao(à) Relator(a),,23/7/2020,GABINETE MINISTRO GILMAR MENDES,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6110,ADI-6110,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5655768,MIN. GILMAR MENDES,Originária,Eletrônico,20/3/2019,"1 - Lei Estadual nº 360 de 2016 - Lei Estadual nº 360 de 2016, DO ESTADO DO AMAZONAS.",31/7/2019,Conclusos ao(à) Relator(a),,31/7/2019,GABINETE MINISTRO GILMAR MENDES,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,573,ADPF-573,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5658929,MIN. ROBERTO BARROSO,Originária,Eletrônico,25/3/2019,"1 - Lei Estadual nº 4546 de 1992 - Lei Estadual nº 4546 de 1992,  Art. 8º e 9º,  DO ESTADO DO PIAUÍ.",29/11/2019,Conclusos ao(à) Relator(a),,29/11/2019,GABINETE MINISTRO ROBERTO BARROSO,Sim,Não,Não,Sim,Não,Não,Não,PIAUÍ,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,574,ADPF-574,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5662276,MIN. EDSON FACHIN,Originária,Eletrônico,28/3/2019,"1 - Outros - A inconstitucionalidade de decisões judiciais que autorizam o transporte coletivo de passageiros intermediado por plataformas e aplicativos de “frete colaborativo”, assim
como se reconheça a inconstitucionalidade da omissão das agência reguladoras de transporte na edição de atos concretos de fiscalização.2 - Outros - Proibição e sanção dos prestadores de transporte coletivo de passageiros intermediado por plataformas e aplicativos de “frete colaborativo”.",11/2/2020,Conclusos ao(à) Relator(a),,11/2/2020,GABINETE MINISTRO EDSON FACHIN,Não,Não,Não,Não,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
